Name,Long,Lat,Link,NotesNumber
Puerto Montt-mirador,-72.94754,-41.4763721,https://postimg.cc/5XZ2HP3P,4
Puerto Montt-mirador,-72.918325,-41.476633,https://postimg.cc/Q9DNmHv1,5
Puerto Montt-mirador,-72.9395789,-41.4718097,https://postimg.cc/KRjG0Xpq,10-Jun
Puerto Montt-mirador,-72.9395789,-41.4718097,https://postimg.cc/jL1s98Gs,10-Jun
Puerto Montt-mirador,-72.9395789,-41.4718097,https://postimg.cc/mzTRMKFS,10-Jun
Puerto Montt-mirador,-72.9395789,-41.4718097,https://postimg.cc/d72whJD1,10-Jun
Puerto Montt-mirador,-72.9395789,-41.4718097,https://postimg.cc/PLsdfCX9,10-Jun
Puerto Varas,-72.9707359,-41.3164787,https://postimg.cc/pyqVQVC5,11
Puerto Varas,-72.9844126,-41.3208267,https://postimg.cc/7GX4NX3r,13-Dec
Puerto Varas,-72.9844126,-41.3208267,https://postimg.cc/FkR4Ccpd,13-Dec
Frutillar-mirador,-73.0242267,-41.138473,https://postimg.cc/WtbT4LVN,14
Frutillar,-73.0270573,-41.1391066,https://postimg.cc/4nLZ7L4z,15
Ensenada,-72.9794365,-41.3635676,https://postimg.cc/CzR0jGd9,16
Puerto Petrúe,-72.4021856,-41.1391122,https://postimg.cc/VS8cQ24c,17
Lago Todos Los Santos,-72.2890787,-41.1293295,https://postimg.cc/svbrKMhx,18
Peulla,-72.022753,-41.0875302,https://postimg.cc/WDwc2Sfq,19
Hotel de Peulla,-72.0205843,-41.0855379,https://postimg.cc/wyWKNMz6,20
Camino hacia Peulla,-72.0167384,-41.0891602,https://postimg.cc/BjDGzJTg,21
Camino de Rio Frío a Peulla,-71.8774065,-41.0594689,https://postimg.cc/30WsFhr2,24
Camino de Puerto Blest a Lago Frio,-71.8035164,-41.042252,https://postimg.cc/Hjx1gw0j,25
Frontera,-71.8534422,-41.0832821,https://postimg.cc/4Ypr5BG2,26
Lago Frio,-71.8029585,-41.0653731,https://postimg.cc/yJP2qxkF,30
Lago Frio,-71.801389,-41.066944,https://postimg.cc/GBr6SGhL,31
